"Title:","'PHIL-ASR920-CE2 - Traffic - Gi0/0/4 30 Clarion Inn 30 Metro 1836..EC CMID:11'"
"Vertical Label:","'bits per second'"
"Start Date:","2020-05-13 15:00:00"
"End Date:","2020-05-13 15:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","20819"
"Host ID:","653"
""
"Date","Inbound","Outbound"
"2020-05-13 15:00:00","8.4954420182e+05","6.4966740531e+06"
"2020-05-13 17:00:00","9.6927922137e+05","7.6736744259e+06"
"2020-05-13 19:00:00","9.6766101969e+05","5.4639137360e+06"
"2020-05-13 21:00:00","6.6278851144e+05","4.8290288110e+06"
"2020-05-13 23:00:00","1.4834967606e+06","1.0991317007e+07"
"2020-05-14 01:00:00","1.6285645915e+06","1.0099641578e+07"
"2020-05-14 03:00:00","4.1402395916e+05","2.9675296480e+06"
"2020-05-14 05:00:00","5.3993843683e+05","6.2139682741e+06"
"2020-05-14 07:00:00","5.0341872231e+05","2.8455050584e+06"
"2020-05-14 09:00:00","8.3493443805e+05","2.8618029110e+06"
"2020-05-14 11:00:00","5.8156239084e+05","3.8018217920e+06"
"2020-05-14 13:00:00","1.6550766818e+06","3.2638035314e+07"
"2020-05-14 15:00:00","6.9776267158e+05","7.0357633552e+06"
"2020-05-14 17:00:00","7.1619996356e+05","6.2731186968e+06"
"2020-05-14 19:00:00","8.6896942573e+05","8.7569259800e+06"
"2020-05-14 21:00:00","9.1138491638e+05","1.8534037176e+07"
"2020-05-14 23:00:00","1.3636117287e+06","1.4892951349e+07"
"2020-05-15 01:00:00","5.8929142952e+05","1.1026768299e+07"
"2020-05-15 03:00:00","5.0738455248e+05","9.7229152660e+06"
"2020-05-15 05:00:00","5.7572287467e+05","9.3207728378e+06"
"2020-05-15 07:00:00","5.6870311598e+05","5.4437362459e+06"
"2020-05-15 09:00:00","6.3756860898e+05","4.2703272948e+06"
"2020-05-15 11:00:00","4.7823993067e+05","2.9936189185e+06"
"2020-05-15 13:00:00","7.3487613826e+05","5.2042580999e+06"
"2020-05-15 15:00:00","6.0971782898e+05","3.9137735962e+06"
"2020-05-15 17:00:00","6.9039135812e+05","6.9331366630e+06"
"2020-05-15 19:00:00","7.1560324204e+05","7.1070899968e+06"
"2020-05-15 21:00:00","2.2423272649e+06","2.1008033184e+07"
"2020-05-15 23:00:00","1.2195952746e+06","1.8429060487e+07"
"2020-05-16 01:00:00","6.9111651123e+05","1.2526576964e+07"
"2020-05-16 03:00:00","5.4714176237e+05","1.0282082177e+07"
"2020-05-16 05:00:00","5.6417563373e+05","1.0147442975e+07"
"2020-05-16 07:00:00","5.3144618612e+05","5.3111033480e+06"
"2020-05-16 09:00:00","4.2786493718e+05","2.2674538137e+06"
"2020-05-16 11:00:00","9.7590429255e+05","5.4964100528e+06"
"2020-05-16 13:00:00","8.2972411141e+05","5.3895419971e+06"
"2020-05-16 15:00:00","5.7813585154e+05","4.9637965587e+06"
"2020-05-16 17:00:00","5.9864992811e+05","3.1860883463e+06"
"2020-05-16 19:00:00","1.0029125428e+06","4.1499643698e+06"
